Runs,Mins,4s,6s,Pos,Dismissal,Inns,Opposition,Ground,Label 
17,21,1,1,6,bowled,2,v South Africa,Birmingham,not play
11,45,0,0,6,caught,2,v India,Nottingham,not play
44,77,3,0,6,not out,1,v Pakistan,Manchester,play
24,21,2,1,5,run out,1,v India,Rajkot,not play
13,27,2,0,6,run out,2,v India,Hyderabad (Deccan),not play
8,25,0,0,6,caught,2,v India,Gwalior,not play
80,145,4,3,5,run out,1,v India,Guwahati,play
41,56,4,2,5,lbw,1,v India,Delhi,play
75,103,2,6,5,caught,2,v West Indies,Auckland,play
27,47,4,1,5,not out,2,v West Indies,Taupo,not play
8,9,1,0,5,caught,2,v West Indies,Napier,not play
DNB,-,-,-,-,-,2,v West Indies,Wellington,play
24,19,3,0,6,bowled,1,v West Indies,Christchurch,not play
TDNB,-,-,-,-,-,-,v Australia,Wellington,play
1,14,0,0,5,caught,1,v Australia,Auckland,not play
13,26,2,0,5,caught,2,v Australia,Dunedin,not play
25,34,2,1,5,caught,2,v Australia,Christchurch,not play
31,43,0,2,5,caught,1,v Australia,Napier,play
DNB,-,-,-,-,-,2,v Australia,Auckland,play
21,-,1,2,1,caught,2,v Pakistan,Singapore,not play
27,62,3,0,3,caught,1,v South Africa,Singapore,not play
13,37,1,0,5,caught,1,v Zimbabwe,Nairobi (Gym),not play
102*,141,8,2,5,not out,2,v India,Nairobi (Gym),play
TDNB,-,-,-,-,-,-,v South Africa,Potchefstroom,play
26,52,1,1,5,bowled,1,v South Africa,Benoni,not play
0,1,0,0,5,bowled,2,v South Africa,Centurion,not play
21,25,1,1,5,caught,1,v South Africa,Kimberley,not play
25,50,3,1,5,not out,1,v South Africa,Durban,not play
84,91,7,4,5,caught,1,v South Africa,Cape Town,play
5,15,0,0,5,bowled,2,v Zimbabwe,Taupo,not play
10,12,2,0,5,caught,1,v Australia,Melbourne,not play
11,31,1,0,5,bowled,2,v South Africa,Hobart,not play
31,44,3,0,5,caught,1,v Australia,Sydney,play
102,123,9,3,6,not out,2,v South Africa,Brisbane,play
39,47,1,3,6,not out,1,v Australia,Adelaide,play
9,24,0,0,6,caught,2,v South Africa,Adelaide,not play
55,92,3,0,5,caught,1,v Australia,Melbourne,play
0,3,0,0,5,caught,1,v South Africa,Melbourne,not play
57,114,4,1,6,caught,1,v South Africa,Sydney,play
